id,name,sub1,sub2,sub3,sub4,sub5,sub6,total,average,grade,dept
1402,Emma Brown,91,70,43,68,90,85,447,74.5,B,ECE
1403,Mia Johnson,79,72,71,57,56,65,400,66.67,C,ISE
1404,Noah Miller,89,51,40,74,74,74,402,67.0,C,CSE
1405,Mia Johnson,89,51,74,50,90,69,423,70.5,B,EEE
1406,Noah Jones,60,90,81,89,48,92,460,76.67,B,EEE
1407,Sophia Jones,54,69,57,86,48,81,395,65.83,C,ISE
1408,Sophia Smith,93,79,51,45,41,71,380,63.33,C,EEE
1409,Olivia Jones,76,73,95,68,99,85,496,82.67,B,ISE
1410,Mason Williams,52,62,85,50,40,91,380,63.33,C,EEE
1411,Noah Williams,46,83,95,73,96,45,438,73.0,B,EEE
1412,Mason Brown,89,92,86,71,45,93,476,79.33,B,ECE
1413,Ava Davis,79,65,52,92,59,65,412,68.67,C,ISE
1414,Ethan Jones,45,51,67,41,51,80,335,55.83,D,ISE
1415,Emma Miller,58,79,67,69,86,43,402,67.0,C,CSE
1416,Sophia Jones,87,74,89,67,55,57,429,71.5,B,ISE
1417,Emma Brown,88,83,73,57,58,65,424,70.67,B,EEE
1418,Emma Garcia,91,58,93,57,52,50,401,66.83,C,ISE
1419,Liam Johnson,44,54,62,99,84,78,421,70.17,B,EEE
1420,Emma Brown,71,84,60,66,84,76,441,73.5,B,CSE
1421,Liam Williams,54,75,65,100,83,41,418,69.67,C,CSE
1422,Sophia Garcia,54,70,82,57,42,64,369,61.5,C,ISE
1423,Sophia Jones,59,90,82,41,82,81,435,72.5,B,EEE
1424,Mia Davis,57,65,44,70,86,50,372,62.0,C,EEE
1425,Lucas Jones,99,42,91,79,83,86,480,80.0,B,ISE
1426,Ethan Williams,73,40,66,70,44,99,392,65.33,C,ISE
1427,Liam Jones,99,91,44,64,89,68,455,75.83,B,EEE
1428,Noah Jones,95,78,83,71,73,49,449,74.83,B,CSE
1429,Ava Brown,50,86,68,86,96,49,435,72.5,B,ECE
1430,Ava Davis,66,51,62,81,49,43,352,58.67,D,ECE
1431,Ethan Jones,84,79,51,54,73,75,416,69.33,C,EEE
1432,Lucas Davis,87,47,71,60,98,82,445,74.17,B,EEE
1433,Noah Johnson,77,99,65,41,57,94,433,72.17,B,EEE
1434,Lucas Miller,43,48,77,76,91,59,394,65.67,C,ISE
1435,Lucas Brown,44,55,51,85,50,68,353,58.83,D,CSE
1436,Ava Jones,63,83,82,74,43,60,405,67.5,C,ISE
1437,Sophia Brown,73,65,41,60,75,56,370,61.67,C,EEE
1438,Sophia Smith,57,65,43,68,53,63,349,58.17,D,ISE
1439,Sophia Johnson,95,100,59,77,73,90,494,82.33,B,EEE
1440,Ethan Brown,55,86,86,75,85,57,444,74.0,B,CSE
1441,Ava Garcia,93,56,91,80,70,95,485,80.83,B,EEE
1442,Noah Davis,75,55,45,76,61,69,381,63.5,C,CSE
1443,Mia Brown,59,51,57,77,51,46,341,56.83,D,ISE
1444,Mia Williams,95,52,42,95,68,47,399,66.5,C,EEE
1445,Liam Brown,58,100,83,73,93,77,484,80.67,B,EEE
1446,Mason Garcia,77,64,84,69,57,48,399,66.5,C,ISE
1447,Sophia Johnson,63,79,57,69,66,47,381,63.5,C,EEE
1448,Ava Johnson,69,40,45,75,56,45,330,55.0,D,EEE
1449,Noah Johnson,88,60,66,43,99,50,406,67.67,C,CSE
1450,Liam Smith,72,92,87,64,56,59,430,71.67,B,ECE
1451,Ava Smith,41,87,90,76,41,82,417,69.5,C,ISE
1452,Mia Smith,72,93,69,84,69,71,458,76.33,B,CSE
1453,Liam Jones,48,89,57,67,43,81,385,64.17,C,ISE
1454,Ethan Brown,95,56,94,46,93,74,458,76.33,B,EEE
1455,Liam Garcia,72,74,69,47,40,93,395,65.83,C,EEE
1456,Lucas Miller,50,90,82,84,48,64,418,69.67,C,ISE
1457,Olivia Smith,67,47,65,87,43,93,402,67.0,C,CSE
1458,Mason Johnson,88,98,77,88,76,68,495,82.5,B,ECE
1459,Ethan Miller,62,61,100,98,46,62,429,71.5,B,EEE
1460,Ethan Jones,100,49,57,49,48,41,344,57.33,D,ECE
1461,Liam Brown,85,46,43,50,54,45,323,53.83,D,EEE
1462,Liam Johnson,77,48,56,79,47,85,392,65.33,C,EEE
1463,Emma Garcia,79,61,43,66,92,41,382,63.67,C,EEE
1464,Ava Davis,69,43,76,64,46,51,349,58.17,D,EEE
1465,Lucas Garcia,51,80,66,90,62,45,394,65.67,C,CSE
1466,Olivia Johnson,42,88,71,96,76,71,444,74.0,B,CSE
1467,Liam Garcia,85,84,68,58,61,44,400,66.67,C,EEE
1468,Sophia Jones,65,92,63,72,46,71,409,68.17,C,EEE
1469,Ethan Garcia,84,82,95,76,51,73,461,76.83,B,ECE
1470,Ava Davis,93,95,94,59,41,74,456,76.0,B,EEE
1471,Lucas Miller,87,80,50,41,64,90,412,68.67,C,ECE
1472,Mia Smith,100,48,56,70,91,92,457,76.17,B,ECE
1473,Ethan Davis,99,50,98,47,94,84,472,78.67,B,ISE
1474,Ethan Davis,91,70,41,79,67,64,412,68.67,C,ISE
1475,Liam Miller,88,64,73,67,54,98,444,74.0,B,ECE
1476,Olivia Williams,66,88,96,88,87,76,501,83.5,B,ISE
1477,Mason Davis,64,94,76,77,56,45,412,68.67,C,ISE
1478,Olivia Davis,42,67,47,95,56,50,357,59.5,D,EEE
1479,Ava Smith,56,53,86,51,53,91,390,65.0,C,ECE
1480,Ethan Garcia,69,67,90,81,90,74,471,78.5,B,CSE
1481,Lucas Williams,41,40,74,98,62,56,371,61.83,C,EEE
1482,Lucas Williams,53,49,75,90,44,63,374,62.33,C,EEE
1483,Mason Jones,92,90,41,54,93,50,420,70.0,B,ECE
1484,Lucas Smith,81,81,72,58,92,54,438,73.0,B,ISE
1485,Sophia Smith,87,47,44,73,82,69,402,67.0,C,ISE
1486,Ethan Miller,69,60,43,84,58,77,391,65.17,C,EEE
1487,Ava Johnson,53,76,80,81,75,90,455,75.83,B,CSE
1488,Olivia Smith,70,52,77,59,48,67,373,62.17,C,CSE
1489,Liam Miller,88,62,78,63,46,73,410,68.33,C,CSE
1490,Lucas Miller,97,52,100,61,55,77,442,73.67,B,ECE
1491,Mason Davis,64,78,87,60,55,81,425,70.83,B,EEE
1492,Liam Davis,79,80,80,91,78,40,448,74.67,B,ISE
1493,Mia Jones,43,98,71,85,91,99,487,81.17,B,ECE
1494,Mia Davis,46,45,72,53,41,46,303,50.5,D,ECE
1495,Ethan Johnson,96,86,55,85,63,88,473,78.83,B,ECE
1496,Emma Miller,76,77,95,84,77,56,465,77.5,B,CSE
1497,Olivia Brown,69,96,58,40,67,44,374,62.33,C,ISE
1498,Olivia Johnson,47,67,96,98,71,81,460,76.67,B,ECE
1499,Emma Brown,90,54,49,94,79,55,421,70.17,B,ISE
1500,Mia Miller,52,73,86,62,52,95,420,70.0,B,CSE
1501,Ethan Williams,76,79,75,93,78,51,452,75.33,B,CSE
1502,Emma Brown,100,86,65,49,98,51,449,74.83,B,CSE
1503,Olivia Miller,76,72,82,73,58,76,437,72.83,B,ECE
1504,Noah Williams,56,99,77,93,55,89,469,78.17,B,EEE
1505,Olivia Williams,60,76,93,80,46,96,451,75.17,B,ISE
1506,Emma Miller,60,66,68,60,84,92,430,71.67,B,EEE
1507,Noah Johnson,71,70,71,88,54,44,398,66.33,C,ISE
1508,Mia Davis,80,85,41,73,91,62,432,72.0,B,CSE
1509,Mason Davis,64,92,82,49,93,48,428,71.33,B,ISE
1510,Emma Miller,54,45,82,58,79,85,403,67.17,C,ECE
1511,Lucas Jones,87,76,77,54,73,60,427,71.17,B,ECE
1512,Noah Garcia,96,72,98,57,100,56,479,79.83,B,ECE
1513,Ethan Jones,60,42,81,59,69,56,367,61.17,C,CSE
1514,Lucas Smith,58,76,51,67,87,40,379,63.17,C,ISE
1515,Lucas Jones,64,41,47,45,71,64,332,55.33,D,ISE
1516,Lucas Smith,64,55,75,94,61,74,423,70.5,B,ECE
1517,Sophia Miller,80,60,98,93,74,76,481,80.17,B,CSE
1518,Emma Johnson,78,87,90,81,51,97,484,80.67,B,CSE
1519,Olivia Smith,46,55,65,88,75,72,401,66.83,C,ISE
1520,Sophia Smith,45,70,92,61,89,50,407,67.83,C,EEE
1521,Lucas Miller,76,77,50,77,75,62,417,69.5,C,ECE
1522,Liam Miller,66,65,79,51,47,61,369,61.5,C,ISE
1523,Ethan Davis,66,81,41,90,48,65,391,65.17,C,ECE
1524,Ethan Brown,42,52,75,77,97,98,441,73.5,B,ECE
1525,Ava Williams,89,43,72,81,47,87,419,69.83,C,EEE
1526,Olivia Davis,59,61,73,67,57,97,414,69.0,C,ISE
1527,Emma Miller,50,68,72,42,44,58,334,55.67,D,EEE
1528,Mason Johnson,95,98,58,80,89,74,494,82.33,B,ECE
1529,Emma Williams,61,97,43,64,53,55,373,62.17,C,CSE
1530,Lucas Johnson,87,67,47,40,40,88,369,61.5,C,EEE
1531,Ethan Jones,77,51,54,69,89,44,384,64.0,C,CSE
1532,Lucas Williams,79,76,59,76,51,98,439,73.17,B,EEE
1533,Lucas Garcia,58,43,100,79,99,55,434,72.33,B,ISE
1534,Sophia Smith,85,51,55,86,54,99,430,71.67,B,ECE
1535,Sophia Miller,68,58,91,50,79,53,399,66.5,C,ISE
1536,Liam Johnson,98,54,40,55,79,98,424,70.67,B,EEE
1537,Noah Jones,63,59,96,68,85,40,411,68.5,C,CSE
1538,Noah Brown,68,52,55,41,67,80,363,60.5,C,ECE
1539,Olivia Miller,97,97,96,80,63,68,501,83.5,B,EEE
1540,Mia Brown,60,46,94,58,53,74,385,64.17,C,ECE
1541,Emma Williams,53,48,42,56,48,74,321,53.5,D,ECE
1542,Lucas Jones,46,85,49,62,49,67,358,59.67,D,CSE
1543,Ava Brown,75,60,65,75,87,59,421,70.17,B,ECE
1544,Mason Brown,77,88,41,70,93,49,418,69.67,C,ECE
1545,Lucas Smith,53,99,88,82,66,79,467,77.83,B,CSE
1546,Mia Brown,41,73,84,73,62,59,392,65.33,C,ECE
1547,Emma Johnson,73,99,99,48,93,62,474,79.0,B,ISE
1548,Sophia Jones,75,89,86,89,84,72,495,82.5,B,CSE
1549,Olivia Williams,57,44,49,68,53,96,367,61.17,C,ISE
1550,Emma Brown,99,59,43,81,92,46,420,70.0,B,ECE
1551,Ethan Williams,58,80,83,63,58,99,441,73.5,B,ISE
1552,Ava Johnson,53,76,60,91,99,43,422,70.33,B,ECE
1553,Olivia Johnson,81,83,61,97,89,86,497,82.83,B,ECE
1554,Liam Jones,58,99,66,46,62,55,386,64.33,C,ISE
1555,Mia Brown,49,96,89,81,58,99,472,78.67,B,ISE
1556,Olivia Jones,94,42,88,46,65,84,419,69.83,C,EEE
1557,Ethan Brown,77,60,63,74,95,54,423,70.5,B,ECE
1558,Lucas Smith,86,67,91,90,55,49,438,73.0,B,EEE
1559,Ethan Jones,64,81,50,51,48,67,361,60.17,C,EEE
1560,Mia Garcia,43,87,58,40,78,67,373,62.17,C,EEE
1561,Olivia Brown,89,93,70,78,41,63,434,72.33,B,CSE
1562,Mason Smith,90,44,84,45,40,70,373,62.17,C,CSE
1563,Olivia Davis,52,43,50,93,64,61,363,60.5,C,EEE
1564,Ava Williams,86,70,65,55,79,72,427,71.17,B,CSE
1565,Lucas Garcia,41,78,65,94,63,90,431,71.83,B,ECE
1566,Lucas Miller,59,84,63,85,45,45,381,63.5,C,CSE
1567,Sophia Smith,40,85,45,98,53,75,396,66.0,C,ISE
1568,Lucas Johnson,44,99,60,56,64,90,413,68.83,C,ISE
1569,Emma Miller,65,94,58,72,58,70,417,69.5,C,ISE
1570,Ethan Jones,52,57,96,80,88,70,443,73.83,B,ECE
1571,Emma Williams,69,95,98,79,65,74,480,80.0,B,CSE
1572,Mia Williams,82,60,48,63,48,100,401,66.83,C,EEE
1573,Liam Garcia,51,100,81,91,95,59,477,79.5,B,ECE
1574,Olivia Smith,69,99,91,70,84,77,490,81.67,B,ISE
1575,Sophia Williams,92,91,78,51,53,44,409,68.17,C,ISE
1576,Mason Smith,52,84,87,79,52,47,401,66.83,C,ISE
1577,Ava Davis,79,53,44,60,58,60,354,59.0,D,ECE
1578,Noah Brown,91,55,72,47,85,58,408,68.0,C,ECE
1579,Ava Brown,40,91,71,61,41,56,360,60.0,C,ISE
1580,Lucas Smith,56,61,68,69,41,70,365,60.83,C,CSE
1581,Mia Johnson,82,95,89,60,68,59,453,75.5,B,EEE
1582,Liam Miller,91,75,81,91,71,95,504,84.0,B,ECE
1583,Ava Jones,89,55,40,86,82,43,395,65.83,C,ECE
1584,Noah Brown,63,41,87,89,99,63,442,73.67,B,EEE
1585,Ethan Williams,95,93,71,79,62,98,498,83.0,B,CSE
1586,Mia Miller,59,68,98,94,94,51,464,77.33,B,CSE
1587,Liam Davis,79,52,55,90,96,100,472,78.67,B,EEE
1588,Ethan Jones,99,80,64,55,86,74,458,76.33,B,CSE
1589,Mia Williams,75,45,68,74,47,62,371,61.83,C,ISE
1590,Ethan Davis,52,44,67,52,86,55,356,59.33,D,EEE
1591,Ava Miller,83,44,82,92,80,57,438,73.0,B,EEE
1592,Mia Davis,63,89,50,60,75,71,408,68.0,C,ISE
1593,Liam Williams,70,44,53,75,41,58,341,56.83,D,EEE
1594,Sophia Brown,66,63,42,70,44,92,377,62.83,C,EEE
1595,Noah Smith,99,48,40,92,70,100,449,74.83,B,ISE
1596,Emma Johnson,73,68,42,88,44,87,402,67.0,C,EEE
1597,Ava Johnson,77,86,79,57,86,55,440,73.33,B,ISE
1598,Mason Davis,80,46,74,84,73,74,431,71.83,B,CSE
1599,Liam Jones,86,76,70,76,57,90,455,75.83,B,ECE
1600,Mason Johnson,82,58,91,79,72,66,448,74.67,B,ECE
1601,Noah Davis,76,97,71,71,47,77,439,73.17,B,ECE
1602,Ava Davis,91,87,93,91,53,43,458,76.33,B,ECE
1603,Ethan Williams,99,83,91,54,46,85,458,76.33,B,EEE
1604,Liam Smith,52,82,42,75,70,66,387,64.5,C,EEE
1605,Lucas Davis,98,95,67,59,51,45,415,69.17,C,ECE
1606,Ava Smith,46,61,56,93,94,46,396,66.0,C,ISE
1607,Mia Garcia,41,87,44,64,92,41,369,61.5,C,ECE
1608,Olivia Williams,88,76,64,44,93,62,427,71.17,B,CSE
1609,Mason Smith,49,74,77,59,88,52,399,66.5,C,CSE
1610,Ethan Davis,53,78,99,84,61,69,444,74.0,B,ECE
1611,Olivia Brown,65,41,85,87,68,84,430,71.67,B,CSE
1612,Ethan Johnson,51,92,98,54,41,81,417,69.5,C,ISE
1613,Ethan Miller,55,66,52,54,92,79,398,66.33,C,EEE
1614,Liam Johnson,61,60,100,96,93,91,501,83.5,B,EEE
1615,Mia Johnson,64,82,87,47,45,69,394,65.67,C,ECE
1616,Ethan Williams,83,82,59,53,64,40,381,63.5,C,EEE
1617,Lucas Brown,88,57,88,97,85,97,512,85.33,A,ECE
1618,Sophia Miller,69,94,40,44,90,91,428,71.33,B,EEE
1619,Olivia Davis,49,76,90,91,69,81,456,76.0,B,ISE
1620,Ava Williams,70,43,87,59,82,43,384,64.0,C,ISE
1621,Lucas Davis,93,93,48,49,63,100,446,74.33,B,CSE
1622,Mia Johnson,68,83,91,45,75,60,422,70.33,B,ISE
1623,Olivia Williams,56,60,71,65,90,48,390,65.0,C,CSE
1624,Noah Garcia,45,91,100,42,67,74,419,69.83,C,ECE
1625,Lucas Williams,45,87,83,79,70,98,462,77.0,B,ISE
1626,Lucas Smith,95,88,69,59,83,57,451,75.17,B,ECE
1627,Emma Brown,56,88,53,48,78,57,380,63.33,C,CSE
1628,Mia Williams,82,81,76,88,40,74,441,73.5,B,EEE
1629,Ava Davis,90,74,40,71,41,64,380,63.33,C,ISE
1630,Ethan Johnson,52,66,87,42,85,53,385,64.17,C,EEE
1631,Ava Smith,73,87,81,98,44,84,467,77.83,B,EEE
1632,Emma Johnson,77,99,56,97,66,93,488,81.33,B,ECE
1633,Mason Garcia,67,87,67,56,72,44,393,65.5,C,CSE
1634,Liam Davis,46,76,63,98,50,93,426,71.0,B,ECE
1635,Ethan Davis,70,94,46,79,99,98,486,81.0,B,EEE
1636,Mason Davis,66,55,83,60,51,45,360,60.0,C,ECE
1637,Emma Williams,74,64,58,66,100,40,402,67.0,C,ISE
1638,Sophia Smith,72,100,71,69,97,52,461,76.83,B,ISE
1639,Ava Davis,40,66,59,80,98,70,413,68.83,C,CSE
1640,Liam Williams,53,84,70,71,72,77,427,71.17,B,ECE
1641,Lucas Brown,68,90,74,76,98,94,500,83.33,B,EEE
1642,Noah Smith,100,73,66,94,55,42,430,71.67,B,ISE
1643,Ava Brown,70,85,68,40,79,40,382,63.67,C,EEE
1644,Sophia Jones,63,65,48,74,50,68,368,61.33,C,EEE
1645,Sophia Davis,80,44,61,63,91,49,388,64.67,C,EEE
1646,Liam Miller,40,66,41,75,82,63,367,61.17,C,ISE
1647,Sophia Miller,48,84,64,90,80,84,450,75.0,B,EEE
1648,Emma Garcia,47,46,80,68,46,89,376,62.67,C,EEE
1649,Mia Smith,81,95,64,86,42,93,461,76.83,B,ISE
1650,Mason Jones,41,76,47,96,90,80,430,71.67,B,CSE
1651,Liam Johnson,75,82,95,62,73,47,434,72.33,B,ECE
1652,Ethan Miller,94,60,81,58,80,67,440,73.33,B,ECE
1653,Sophia Davis,59,85,51,63,42,100,400,66.67,C,ECE
1654,Lucas Davis,75,64,55,52,74,51,371,61.83,C,ECE
1655,Emma Brown,54,88,93,56,41,85,417,69.5,C,ISE
1656,Sophia Miller,89,47,43,78,93,66,416,69.33,C,ECE
1657,Lucas Davis,77,57,100,50,91,71,446,74.33,B,ECE
1658,Mason Garcia,86,59,99,80,41,67,432,72.0,B,ECE
1659,Noah Williams,51,53,51,65,100,67,387,64.5,C,ISE
1660,Olivia Brown,97,45,94,48,76,88,448,74.67,B,ECE
1661,Emma Brown,73,51,54,53,96,71,398,66.33,C,CSE
1662,Emma Smith,58,96,57,55,82,48,396,66.0,C,CSE
1663,Emma Smith,47,75,42,89,76,41,370,61.67,C,ECE
1664,Mia Johnson,48,57,87,76,89,54,411,68.5,C,EEE
1665,Sophia Williams,64,61,88,81,58,72,424,70.67,B,EEE
1666,Ethan Williams,60,87,45,42,76,66,376,62.67,C,ISE
1667,Emma Miller,85,99,44,47,66,71,412,68.67,C,CSE
1668,Noah Garcia,80,59,69,63,82,51,404,67.33,C,ISE
1669,Ethan Davis,70,84,59,59,69,71,412,68.67,C,ISE
1670,Ava Johnson,72,59,100,86,52,50,419,69.83,C,ISE
1671,Noah Davis,48,100,99,73,83,52,455,75.83,B,EEE
1672,Mason Brown,70,49,89,79,57,77,421,70.17,B,ISE
1673,Ava Williams,74,43,44,70,44,47,322,53.67,D,ISE
1674,Ava Jones,73,75,78,89,80,49,444,74.0,B,CSE
1675,Olivia Garcia,94,40,99,99,52,46,430,71.67,B,ISE
1676,Liam Williams,100,83,96,69,74,96,518,86.33,A,EEE
1677,Ethan Brown,68,71,58,62,81,49,389,64.83,C,CSE
1678,Mia Garcia,51,66,73,56,93,49,388,64.67,C,EEE
1679,Mason Garcia,99,76,76,77,96,62,486,81.0,B,ECE
1680,Mason Brown,57,70,63,47,70,58,365,60.83,C,ISE
1681,Noah Garcia,98,76,57,93,73,52,449,74.83,B,ISE
1682,Ava Johnson,91,47,67,98,63,93,459,76.5,B,EEE
1683,Ava Smith,55,78,75,64,75,58,405,67.5,C,ISE
1684,Olivia Smith,52,88,58,89,77,82,446,74.33,B,EEE
1685,Ethan Johnson,77,77,55,65,93,71,438,73.0,B,ISE
1686,Liam Williams,97,69,59,55,50,59,389,64.83,C,ECE
1687,Noah Davis,47,60,65,46,93,100,411,68.5,C,EEE
1688,Liam Johnson,72,96,48,81,60,59,416,69.33,C,ECE
1689,Ethan Smith,81,65,54,89,77,55,421,70.17,B,EEE
1690,Noah Smith,58,84,72,80,59,49,402,67.0,C,EEE
1691,Mia Davis,100,46,50,46,43,88,373,62.17,C,CSE
1692,Olivia Brown,40,73,71,44,43,52,323,53.83,D,ECE
1693,Noah Smith,84,87,67,84,96,63,481,80.17,B,ECE
1694,Mia Davis,45,67,77,73,47,44,353,58.83,D,ISE
1695,Liam Smith,55,76,56,96,46,56,385,64.17,C,CSE
1696,Lucas Johnson,65,68,70,60,69,71,403,67.17,C,CSE
1697,Emma Brown,68,43,93,73,76,96,449,74.83,B,CSE
1698,Ava Smith,54,69,86,49,69,58,385,64.17,C,CSE
1699,Noah Smith,95,78,46,68,91,81,459,76.5,B,ISE
1700,Lucas Jones,51,43,50,49,51,69,313,52.17,D,CSE
1701,Sophia Davis,47,78,84,60,73,55,397,66.17,C,EEE
1702,Mia Johnson,41,86,89,52,43,53,364,60.67,C,CSE
1703,Ava Williams,56,42,95,40,61,98,392,65.33,C,ISE
1704,Lucas Smith,60,40,81,65,95,42,383,63.83,C,ECE
1705,Sophia Miller,43,73,93,61,98,68,436,72.67,B,CSE
1706,Ava Williams,65,92,64,48,100,72,441,73.5,B,CSE
1707,Emma Smith,87,40,61,76,91,76,431,71.83,B,CSE
1708,Emma Jones,82,61,43,66,58,74,384,64.0,C,EEE
1709,Mason Davis,66,98,95,98,60,73,490,81.67,B,ISE
1710,Noah Williams,75,66,74,45,77,79,416,69.33,C,CSE
1711,Lucas Williams,94,89,73,100,86,76,518,86.33,A,ISE
1712,Mason Williams,44,84,76,55,61,59,379,63.17,C,ECE
1713,Sophia Miller,98,97,95,46,58,57,451,75.17,B,CSE
1714,Ava Miller,95,85,54,56,45,65,400,66.67,C,ECE
1715,Olivia Davis,65,93,50,47,78,53,386,64.33,C,ECE
1716,Liam Brown,58,51,74,78,69,47,377,62.83,C,ISE
1717,Ethan Williams,43,43,91,58,49,56,340,56.67,D,CSE
1718,Noah Davis,61,49,50,88,50,76,374,62.33,C,CSE
1719,Emma Johnson,94,53,53,97,89,87,473,78.83,B,CSE
1720,Mia Johnson,68,88,80,92,67,86,481,80.17,B,ECE
1721,Olivia Garcia,72,94,67,59,66,72,430,71.67,B,ECE
1722,Ethan Miller,99,90,79,83,93,92,536,89.33,A,CSE
1723,Lucas Brown,62,70,73,90,87,87,469,78.17,B,ECE
1724,Emma Williams,80,79,79,54,92,50,434,72.33,B,EEE
1725,Lucas Davis,48,82,75,53,58,45,361,60.17,C,EEE
1726,Olivia Garcia,64,50,87,44,64,52,361,60.17,C,ISE
1727,Olivia Garcia,45,58,45,57,89,95,389,64.83,C,EEE
1728,Sophia Jones,45,69,85,94,97,59,449,74.83,B,ECE
1729,Mason Brown,77,92,68,82,71,98,488,81.33,B,ECE
1730,Mason Johnson,80,82,76,74,57,42,411,68.5,C,ISE
1731,Liam Jones,82,89,63,80,94,49,457,76.17,B,EEE
1732,Liam Brown,53,89,55,54,52,94,397,66.17,C,ECE
1733,Emma Brown,68,62,40,61,67,94,392,65.33,C,ECE
1734,Liam Jones,66,77,54,42,67,55,361,60.17,C,ISE
1735,Ava Johnson,40,82,87,63,55,60,387,64.5,C,EEE
1736,Ethan Jones,88,95,88,76,63,70,480,80.0,B,ECE
1737,Sophia Garcia,72,40,88,89,76,40,405,67.5,C,ECE
1738,Ava Johnson,56,55,69,58,59,53,350,58.33,D,CSE
1739,Ava Jones,42,76,55,82,73,80,408,68.0,C,ECE
1740,Noah Miller,84,47,66,54,87,97,435,72.5,B,EEE
1741,Noah Brown,56,92,58,70,58,87,421,70.17,B,EEE
1742,Noah Williams,59,71,66,65,93,64,418,69.67,C,CSE
1743,Liam Miller,77,50,79,53,44,78,381,63.5,C,EEE
1744,Lucas Jones,45,47,76,92,57,79,396,66.0,C,ISE
1745,Liam Miller,67,41,97,51,53,85,394,65.67,C,ECE
1746,Mason Garcia,61,60,45,96,94,57,413,68.83,C,ECE
1747,Ethan Garcia,46,45,70,61,48,71,341,56.83,D,ECE
1748,Ava Brown,91,45,70,76,92,70,444,74.0,B,ISE
1749,Ethan Williams,73,52,93,80,61,59,418,69.67,C,EEE
1750,Liam Garcia,94,70,62,56,66,98,446,74.33,B,ISE
1751,Mia Garcia,42,72,95,44,97,61,411,68.5,C,ECE
1752,Ethan Smith,47,45,62,71,64,93,382,63.67,C,EEE
1753,Noah Williams,94,55,93,89,47,75,453,75.5,B,CSE
1754,Mia Williams,43,63,70,51,56,67,350,58.33,D,ECE
1755,Liam Johnson,67,64,50,78,77,77,413,68.83,C,EEE
1756,Emma Garcia,50,61,41,60,99,55,366,61.0,C,CSE
1757,Ava Jones,84,47,41,93,99,43,407,67.83,C,ECE
1758,Mia Williams,47,97,97,52,85,66,444,74.0,B,ISE
1759,Sophia Brown,56,92,48,57,82,88,423,70.5,B,ISE
1760,Emma Smith,95,74,68,65,90,90,482,80.33,B,ISE
1761,Mason Smith,44,90,82,67,53,46,382,63.67,C,CSE
1762,Olivia Williams,77,65,55,100,81,59,437,72.83,B,CSE
1763,Mason Williams,41,79,76,83,56,43,378,63.0,C,ECE
1764,Emma Davis,58,45,91,47,46,43,330,55.0,D,CSE
1765,Noah Johnson,66,68,40,76,64,68,382,63.67,C,ECE
1766,Ava Garcia,44,72,48,43,80,74,361,60.17,C,ISE
1767,Noah Smith,49,42,74,97,64,73,399,66.5,C,ISE
1768,Ava Johnson,75,90,77,62,68,62,434,72.33,B,EEE
1769,Sophia Johnson,71,42,71,68,66,45,363,60.5,C,EEE
1770,Ava Jones,42,60,81,72,64,96,415,69.17,C,EEE
1771,Emma Williams,93,58,96,65,99,49,460,76.67,B,CSE
1772,Emma Davis,62,87,90,100,49,48,436,72.67,B,CSE
1773,Liam Jones,82,41,45,63,88,55,374,62.33,C,ISE
1774,Liam Garcia,93,47,54,100,72,56,422,70.33,B,CSE
1775,Sophia Garcia,75,75,96,88,54,99,487,81.17,B,ISE
1776,Mia Miller,45,53,69,54,74,98,393,65.5,C,ISE
1777,Sophia Brown,47,61,58,53,64,42,325,54.17,D,EEE
1778,Olivia Jones,48,99,43,70,67,44,371,61.83,C,CSE
1779,Ethan Smith,84,93,52,79,50,52,410,68.33,C,CSE
1780,Sophia Smith,96,86,91,98,67,98,536,89.33,A,ECE
1781,Mason Johnson,79,84,93,61,95,47,459,76.5,B,CSE
1782,Noah Smith,44,60,94,100,69,67,434,72.33,B,CSE
1783,Mason Davis,85,59,47,82,68,65,406,67.67,C,ECE
1784,Sophia Garcia,83,78,65,93,55,73,447,74.5,B,ECE
1785,Emma Williams,64,88,96,89,78,68,483,80.5,B,ECE
1786,Noah Williams,100,59,48,55,71,61,394,65.67,C,CSE
1787,Olivia Garcia,85,58,44,83,63,83,416,69.33,C,CSE
1788,Mason Smith,88,54,55,58,71,55,381,63.5,C,ECE
1789,Lucas Davis,70,98,70,67,81,59,445,74.17,B,CSE
1790,Sophia Davis,88,53,93,60,63,58,415,69.17,C,EEE
1791,Ethan Davis,52,63,41,59,81,84,380,63.33,C,ECE
1792,Ethan Jones,91,97,58,98,44,75,463,77.17,B,EEE
1793,Olivia Miller,97,83,64,88,49,59,440,73.33,B,ECE
1794,Lucas Garcia,83,89,79,63,46,61,421,70.17,B,EEE
1795,Lucas Smith,72,93,54,93,59,54,425,70.83,B,EEE
1796,Mason Brown,43,100,75,90,61,81,450,75.0,B,CSE
1797,Emma Smith,100,46,53,90,78,75,442,73.67,B,ISE
1798,Sophia Brown,98,90,66,78,60,59,451,75.17,B,ECE
1799,Liam Smith,74,75,74,47,89,65,424,70.67,B,ISE
1800,Emma Miller,57,41,83,87,49,91,408,68.0,C,CSE
1801,Mia Garcia,89,73,40,63,44,56,365,60.83,C,CSE
1802,Olivia Davis,100,79,46,99,40,57,421,70.17,B,ISE
1803,Noah Smith,73,66,44,84,48,60,375,62.5,C,EEE
